time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1697353238.86,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.87,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.88,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.89,-0.01,-0.03,1.02,0,-0.4,-0.1,0.89,0.05,0.02,0.45
1697353238.9,0.01,-0.01,1.01,0,0,-0.2,0.89,0.04,0.01,0.45
1697353238.91,0.01,-0,1.02,0,-0.1,-0.2,0.89,0.04,0.01,0.45
1697353238.92,0.02,-0.01,1,0,0,-0.2,0.89,0.04,0.01,0.45
1697353238.93,0.03,-0.03,0.99,0,0,-0.2,0.89,0.04,0.01,0.45
1697353238.94,0.02,-0.01,0.98,0,0,-0.2,0.89,0.04,0.01,0.45
1697353238.95,0,-0.06,1.02,0,0,-0.1,0.89,0.03,0.01,0.45
1697353238.96,0.01,-0.03,0.97,0,0,-0.2,0.89,0.03,0.01,0.45
1697353238.97,0,-0.01,1.02,0,0.1,-0.2,0.89,0.03,0.01,0.45
1697353238.98,0.02,-0.01,0.97,0,0,-0.2,0.89,0.03,0.01,0.45
1697353238.99,0.02,0.01,1.02,0,0.1,0,0.89,0.03,0.01,0.45
1697353239,0.03,-0.01,1.03,-0.1,-0.1,0,0.89,0.03,0.01,0.45
1697353239.01,0.03,-0.02,1.01,0,-0.1,0,0.89,0.03,0.01,0.45
1697353239.02,0.02,-0.01,0.98,0,-0.1,0,0.89,0.03,0.01,0.45
1697353239.03,0.01,-0.01,1.01,0,-0.1,0,0.89,0.03,0.01,0.45
1697353239.04,0.02,-0,0.98,0,-0.1,0,0.89,0.03,0,0.45
1697353239.05,0.03,-0.02,0.99,-0.1,0,0,0.89,0.03,0,0.45
1697353239.06,0.03,-0.04,1,0,-0.1,-0.1,0.89,0.03,0,0.45
1697353239.07,0.01,-0.04,1.01,0,0,-0.1,0.89,0.03,0,0.45
1697353239.08,0.01,-0.02,0.99,0,0.1,-0.1,0.89,0.02,0,0.45
1697353239.09,0.01,-0.01,1.01,0,0,-0.1,0.89,0.02,0,0.45
1697353239.1,0,-0.02,0.99,0,0,0,0.89,0.02,0,0.45
1697353239.11,0.01,-0.01,1.02,0,0,0,0.89,0.02,0,0.45
1697353239.12,0.03,-0.02,0.99,0,0,0,0.89,0.02,0,0.45
1697353239.13,0.01,-0.02,1.01,0.1,-0.1,0.1,0.89,0.02,0,0.45
1697353239.14,0.01,-0.02,1.01,0.1,-0.1,0.1,0.89,0.02,0,0.45
1697353239.15,0.02,-0.01,0.99,0,0,0.1,0.89,0.02,0,0.45
1697353239.16,0.01,-0.02,1.01,0,0,0,0.89,0.02,0,0.45
1697353239.17,0.02,-0.03,1.01,-0.2,0.1,-0.1,0.89,0.02,0,0.45
1697353239.18,0.01,-0.03,1.01,0,0.1,-0.1,0.89,0.02,0,0.45
1697353239.19,0.01,-0.03,1.01,0,0,-0.1,0.89,0.02,0,0.45
1697353239.2,0,-0.03,1.01,0,0.1,-0.2,0.89,0.02,0,0.45
1697353239.21,0.03,-0.03,0.95,-0.1,0,-0.1,0.89,0.02,-0,0.45
1697353239.22,0.03,-0.03,0.95,-0.1,0,-0.1,0.89,0.02,-0,0.45
1697353239.23,0.03,-0.03,0.99,0,0,0,0.89,0.02,-0,0.45
1697353239.24,0.01,-0.02,1.01,0,0,0,0.89,0.02,-0,0.45
1697353239.25,0.01,-0.02,0.98,0,-0.1,0.1,0.89,0.02,-0,0.45
1697353239.26,0.01,-0.02,0.98,0,0,0.1,0.89,0.02,-0,0.45
1697353239.27,0.01,-0.01,1.01,0,0,0,0.89,0.02,-0,0.45
1697353239.28,0.01,-0.03,1.01,0,0,0,0.89,0.02,-0,0.45
1697353239.29,0.01,-0.01,1.03,0.1,-0.1,0,0.89,0.02,-0,0.45
