time,can_rx_timeout,can_rx_timeout_code,vcu_status,vcu_error_code,rear_sensor_status,rear_sensor_error_code,bms_error_code,inverter_state,inverter_vsm_state,inverter_post_fault,inverter_run_fault
1697350731.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350731.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350731.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350731.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350731.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350731.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350732.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350732.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350732.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350732.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350732.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350732.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350732.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350732.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350732.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350732.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350733.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350733.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350733.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350733.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350733.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350733.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350733.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350733.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350733.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350733.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350734.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350734.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350734.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350734.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350734.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350734.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350734.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350734.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350734.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350734.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350735.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350735.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350735.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350735.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350735.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350735.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350735.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350735.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
