time,status,serivce used,longitude,latitude,covarience[0],covarience[1],covarience[2],covarience[3],covarience[4],covarience[5],covarience[6],covarience[7],covarience[8],covarience type,altitude,velocity_x,velocity_y
1697351351.35,FIX,1,121.418496,25.038039,43.700000,0.007744,0.000000,0.000000,0.000000,0.007744,0.000000,0.000000,0.000000,0.123904,APPROXIMATED,nan,nan
1697351352.35,FIX,1,121.418496,25.038038,43.600000,0.007744,0.000000,0.000000,0.000000,0.007744,0.000000,0.000000,0.000000,0.123904,APPROXIMATED,nan,nan
1697351353.35,FIX,1,121.418496,25.038038,43.500000,0.007744,0.000000,0.000000,0.000000,0.007744,0.000000,0.000000,0.000000,0.123904,APPROXIMATED,nan,nan
1697351354.35,FIX,1,121.418497,25.038038,43.400000,0.007744,0.000000,0.000000,0.000000,0.007744,0.000000,0.000000,0.000000,0.123904,APPROXIMATED,nan,nan
1697351355.35,FIX,1,121.418497,25.038038,43.300000,0.007744,0.000000,0.000000,0.000000,0.007744,0.000000,0.000000,0.000000,0.123904,APPROXIMATED,nan,nan
1697351356.35,FIX,1,121.418497,25.038038,43.300000,0.007744,0.000000,0.000000,0.000000,0.007744,0.000000,0.000000,0.000000,0.123904,APPROXIMATED,nan,nan
1697351357.35,FIX,1,121.418497,25.038037,43.300000,0.007744,0.000000,0.000000,0.000000,0.007744,0.000000,0.000000,0.000000,0.123904,APPROXIMATED,nan,nan
1697351358.35,FIX,1,121.418497,25.038037,43.300000,0.007744,0.000000,0.000000,0.000000,0.007744,0.000000,0.000000,0.000000,0.123904,APPROXIMATED,nan,nan
1697351359.35,FIX,1,121.418497,25.038037,43.200000,0.005776,0.000000,0.000000,0.000000,0.005776,0.000000,0.000000,0.000000,0.092416,APPROXIMATED,nan,nan
1697351360.35,FIX,1,121.418496,25.038037,43.200000,0.005776,0.000000,0.000000,0.000000,0.005776,0.000000,0.000000,0.000000,0.092416,APPROXIMATED,nan,nan
1697351361.35,FIX,1,121.418496,25.038036,43.200000,0.005776,0.000000,0.000000,0.000000,0.005776,0.000000,0.000000,0.000000,0.092416,APPROXIMATED,nan,nan
1697351362.35,FIX,1,121.418497,25.038036,43.100000,0.005041,0.000000,0.000000,0.000000,0.005041,0.000000,0.000000,0.000000,0.080656,APPROXIMATED,nan,nan
1697351363.35,FIX,1,121.418496,25.038036,42.900000,0.005041,0.000000,0.000000,0.000000,0.005041,0.000000,0.000000,0.000000,0.080656,APPROXIMATED,nan,nan
1697351364.35,FIX,1,121.418496,25.038036,42.900000,0.005776,0.000000,0.000000,0.000000,0.005776,0.000000,0.000000,0.000000,0.092416,APPROXIMATED,nan,nan
1697351365.35,FIX,1,121.418496,25.038035,42.800000,0.005041,0.000000,0.000000,0.000000,0.005041,0.000000,0.000000,0.000000,0.080656,APPROXIMATED,nan,nan
1697351366.35,FIX,1,121.418495,25.038035,42.700000,0.005041,0.000000,0.000000,0.000000,0.005041,0.000000,0.000000,0.000000,0.080656,APPROXIMATED,nan,nan
1697351367.35,FIX,1,121.418494,25.038035,42.600000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351368.35,FIX,1,121.418494,25.038034,42.600000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351369.35,FIX,1,121.418495,25.038034,42.600000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351370.35,FIX,1,121.418495,25.038034,42.600000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351371.35,FIX,1,121.418495,25.038034,42.600000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351372.35,FIX,1,121.418496,25.038034,42.700000,0.006241,0.000000,0.000000,0.000000,0.006241,0.000000,0.000000,0.000000,0.099856,APPROXIMATED,nan,nan
1697351373.35,FIX,1,121.418497,25.038034,42.700000,0.006241,0.000000,0.000000,0.000000,0.006241,0.000000,0.000000,0.000000,0.099856,APPROXIMATED,nan,nan
1697351374.35,FIX,1,121.418497,25.038034,42.800000,0.006241,0.000000,0.000000,0.000000,0.006241,0.000000,0.000000,0.000000,0.099856,APPROXIMATED,nan,nan
1697351375.35,FIX,1,121.418497,25.038034,42.800000,0.006241,0.000000,0.000000,0.000000,0.006241,0.000000,0.000000,0.000000,0.099856,APPROXIMATED,nan,nan
1697351376.35,FIX,1,121.418497,25.038034,42.600000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351377.35,FIX,1,121.418496,25.038034,42.600000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351378.35,FIX,1,121.418496,25.038033,42.400000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351379.35,FIX,1,121.418496,25.038033,42.500000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351380.35,FIX,1,121.418496,25.038032,42.500000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351381.35,FIX,1,121.418497,25.038032,42.600000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351382.35,FIX,1,121.418497,25.038032,42.700000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351383.35,FIX,1,121.418497,25.038032,42.600000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351384.35,FIX,1,121.418496,25.038031,42.600000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351385.35,FIX,1,121.418497,25.038031,42.600000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351386.35,FIX,1,121.418496,25.038031,42.600000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
1697351387.35,FIX,1,121.418496,25.038031,42.500000,0.005329,0.000000,0.000000,0.000000,0.005329,0.000000,0.000000,0.000000,0.085264,APPROXIMATED,nan,nan
